epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,23601.9,0.50907,0.35565,0.94569,0.89791,0.90456,0.93881,0.78704,0.67353,0.47465,1.08083,0.0004754,0.0004754,0.0004754
79,23903.9,0.48305,0.3367,0.91488,0.93562,0.88382,0.94964,0.79139,0.67014,0.47043,1.07413,0.0004556,0.0004556,0.0004556
80,24206.9,0.46726,0.33229,0.91275,0.92808,0.87552,0.94942,0.78954,0.66174,0.49406,1.06764,0.0004358,0.0004358,0.0004358
81,24510.2,0.48215,0.33679,0.92188,0.93692,0.86288,0.95205,0.78945,0.66347,0.47803,1.07437,0.000416,0.000416,0.000416
82,24813.3,0.46857,0.33526,0.91849,0.86735,0.92116,0.96113,0.80898,0.61999,0.46572,1.02927,0.0003962,0.0003962,0.0003962
83,25115.9,0.46696,0.34059,0.91714,0.87984,0.91147,0.9508,0.80516,0.61396,0.46756,1.02237,0.0003764,0.0003764,0.0003764
84,25420.2,0.46176,0.3271,0.91636,0.91874,0.89212,0.95061,0.81556,0.60587,0.46952,1.01502,0.0003566,0.0003566,0.0003566
85,25724.6,0.45064,0.31863,0.91191,0.92704,0.85477,0.94338,0.81259,0.59979,0.49203,1.01423,0.0003368,0.0003368,0.0003368
86,26030.1,0.46912,0.33379,0.9144,0.85599,0.91258,0.9398,0.80694,0.61461,0.48405,1.01954,0.000317,0.000317,0.000317
87,26335.6,0.45813,0.32269,0.90866,0.87497,0.89212,0.93829,0.80462,0.63568,0.48976,1.04268,0.0002972,0.0002972,0.0002972
88,26643.6,0.44267,0.31538,0.90036,0.92214,0.87967,0.94487,0.80734,0.62371,0.46366,1.04718,0.0002774,0.0002774,0.0002774
89,26954.1,0.44423,0.31054,0.90524,0.93413,0.88267,0.95801,0.80787,0.61106,0.4451,1.03515,0.0002576,0.0002576,0.0002576
90,27268,0.4422,0.31635,0.90324,0.89569,0.91701,0.95767,0.80556,0.62502,0.45518,1.03765,0.0002378,0.0002378,0.0002378
91,27569.5,0.35137,0.25883,0.82757,0.92416,0.88382,0.94482,0.79564,0.64784,0.47535,1.07001,0.000218,0.000218,0.000218
92,27870.6,0.34354,0.24559,0.82925,0.91892,0.89212,0.9501,0.79917,0.63749,0.4647,1.07244,0.0001982,0.0001982,0.0001982
93,28171.6,0.33716,0.2353,0.81986,0.89535,0.92307,0.96032,0.79777,0.63333,0.45853,1.06869,0.0001784,0.0001784,0.0001784
94,28472.3,0.32387,0.23307,0.8213,0.96095,0.87137,0.96012,0.80511,0.63944,0.46671,1.07596,0.0001586,0.0001586,0.0001586
95,28773,0.32064,0.2293,0.80829,0.94644,0.87986,0.95597,0.80535,0.64828,0.47059,1.08189,0.0001388,0.0001388,0.0001388
96,29074.4,0.31348,0.22598,0.81486,0.92819,0.9117,0.95291,0.80275,0.64515,0.45299,1.08445,0.000119,0.000119,0.000119
97,29375.8,0.3158,0.22958,0.81927,0.91943,0.89969,0.94721,0.79527,0.65567,0.47229,1.09295,9.92e-05,9.92e-05,9.92e-05
98,29676.3,0.30854,0.22171,0.8091,0.94079,0.87967,0.9447,0.79542,0.64876,0.4624,1.08999,7.94e-05,7.94e-05,7.94e-05
99,29977.1,0.30739,0.22292,0.81839,0.92444,0.91286,0.95197,0.79409,0.63962,0.46168,1.08425,5.96e-05,5.96e-05,5.96e-05
100,30282.4,0.29715,0.21839,0.81685,0.92389,0.90871,0.95642,0.79753,0.6423,0.4546,1.08649,3.98e-05,3.98e-05,3.98e-05
